I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Soma_Surface 	834.223	2	(1272)	417.112	417.112	417.112	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	N_stems 	0	0	(1274)	0	0	0	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	N_bifs 	46	46	(1228)	1	1	1	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	N_branch 	99	99	(1175)	1	1	1	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	N_tips 	54	54	(1220)	1	1	1	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Width 	245.1	1274	(0)	245.1	245.1	245.1	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Height 	320.6	1274	(0)	320.6	320.6	320.6	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Depth 	92.74	1274	(0)	92.74	92.74	92.74	0 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Type 	540	1274	(0)	0	0.423862	6	1.47171 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Diameter 	692.619	1274	(0)	0	0.543657	16.2996	0.752777 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Diameter_pow 	691.612	1274	(0)	0	0.542866	65.8059	2.95552 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Length 	4989.2	1273	(1)	0.25	3.91925	80.5541	2.83405 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	Surface 	8957.58	1273	(1)	0	7.03659	417.323	15.8735 
I:\Neuron Tracing\Age-Related Dendritic and Spine Changes OK+++\Old Macaque Monkeys Local Area 46\cnic_swc_old_macaque_pfc_a46_lppn\cnic_001.swc	SectionArea 	735.161	1221	(53)	0.122719	0.602097	208.662	7.51366 
